country_name,country_code,first_year,last_year,n_years,missing_years_1990_2023,avg_life_exp
Haiti,HTI,1990,2023,34,0,59.44564705882353
Heavily indebted poor countries (HIPC),HPC,1990,2023,34,0,56.75190145705883
High income,HIC,1990,2023,34,0,77.45437742382353
Honduras,HND,1990,2023,34,0,69.10032352941177
"Hong Kong SAR, China",HKG,1990,2023,34,0,81.98375896705883
Hungary,HUN,1990,2023,34,0,73.02803443352941
IBRD only,IBD,1990,2023,34,0,70.12928683235293
IDA & IBRD total,IBT,1990,2023,34,0,67.55336681205883
IDA blend,IDB,1990,2023,34,0,57.87613117441177
IDA only,IDX,1990,2023,34,0,59.88177075294117
IDA total,IDA,1990,2023,34,0,59.17581472529412
Iceland,ISL,1990,2023,34,0,81.00332137705882
India,IND,1990,2023,34,0,65.39029411764706
Indonesia,IDN,1990,2023,34,0,67.45888235294117
"Iran, Islamic Rep.",IRN,1990,2023,34,0,72.21879411764705
Iraq,IRQ,1990,2023,34,0,66.75785294117647
Ireland,IRL,1990,2023,34,0,79.024753945
Isle of Man,IMN,1990,2023,34,0,77.30923529411766
Israel,ISR,1990,2023,34,0,80.2587517932353
Italy,ITA,1990,2023,34,0,80.80014347205882
Jamaica,JAM,1990,2023,34,0,71.58726470588236
Japan,JPN,1990,2023,34,0,82.06801291235294
Jordan,JOR,1990,2023,34,0,73.31608823529412
Kazakhstan,KAZ,1990,2023,34,0,67.61611764705881
Kenya,KEN,1990,2023,34,0,59.32955882352941
Kiribati,KIR,1990,2023,34,0,64.7935
"Korea, Dem. People's Rep.",PRK,1990,2023,34,0,68.83208823529412
"Korea, Rep.",KOR,1990,2023,34,0,78.38694404647059
Kosovo,XKX,1990,2023,34,0,72.68094117647058
Kuwait,KWT,1990,2023,34,0,77.57104662852942
Kyrgyz Republic,KGZ,1990,2023,34,0,69.09878048705883
Lao PDR,LAO,1990,2023,34,0,61.81867647058824
Late-demographic dividend,LTE,1990,2023,34,0,73.22690672852941
Latin America & Caribbean,LCN,1990,2023,34,0,72.1509980135294
Latin America & Caribbean (excluding high income),LAC,1990,2023,34,0,71.82176101441176
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,2023,34,0,72.02097207382353
Latvia,LVA,1990,2023,34,0,71.67962697235295
Least developed countries: UN classification,LDC,1990,2023,34,0,58.77450260323529
Lebanon,LBN,1990,2023,34,0,75.2630294117647
Lesotho,LSO,1990,2023,34,0,51.30129411764705
Liberia,LBR,1990,2023,34,0,54.50973529411765
Libya,LBY,1990,2023,34,0,71.30970588235294
Liechtenstein,LIE,1990,2023,34,0,80.72491033029412
Lithuania,LTU,1990,2023,34,0,72.55807747470588
Low & middle income,LMY,1990,2023,34,0,67.55120147911764
Low income,LIC,1990,2023,34,0,57.42662374735294
Lower middle income,LMC,1990,2023,34,0,64.0336320532353
Luxembourg,LUX,1990,2023,34,0,79.4890925397059
"Macao SAR, China",MAC,1990,2023,34,0,80.9111298414706
Madagascar,MDG,1990,2023,34,0,59.81317647058823
Malawi,MWI,1990,2023,34,0,54.00767647058824
Malaysia,MYS,1990,2023,34,0,74.03132352941176
Maldives,MDV,1990,2023,34,0,73.742
Mali,MLI,1990,2023,34,0,53.82173529411765
Malta,MLT,1990,2023,34,0,79.70401147852942
Marshall Islands,MHL,1990,2023,34,0,64.16970588235294
Mauritania,MRT,1990,2023,34,0,63.535941176470594
Mauritius,MUS,1990,2023,34,0,72.35240315617646
Mexico,MEX,1990,2023,34,0,72.67641176470589
"Micronesia, Fed. Sts.",FSM,1990,2023,34,0,64.97555882352941
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1990,2023,34,0,67.75167379411765
