Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guinea-Bissau,GNB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.071,60.619,61.148,61.652,62.161,61.343,61.653,63.605,64.085,64.254
Equatorial Guinea,GNQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.635,61.081,61.481,61.915,62.297,62.141,62.447,63.355,63.707,63.906
Greece,GRC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.28780488,80.08292683,80.78780488,81.73658537,81.83902439
Grenada,GRD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.037,75.01,74.977,74.957,74.971,75.019,74.522,75.151,75.205,75.367
Greenland,GRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.9097561,71.19902439,71.25634146,71.36097561,71.40926829,71.28585366,71.26146341,71.2302439,70.97243902,70.27341463
Guatemala,GTM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.915,71.215,71.583,71.496,71.639,69.971,67.858,71.206,72.602,72.746
Guam,GUM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.444,76.449,76.463,76.561,76.645,75.529,75.434,77.102,77.209,77.422
Guyana,GUY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.719,68.069,68.543,68.829,69.067,67.751,64.323,69.888,70.18,70.319
High income,HIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.52431896,79.72431212,79.85362541,79.96663881,80.19926406,79.2041449,78.79816271,79.42677693,80.14962596,80.39436814
"Hong Kong SAR, China",HKG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.25268293,84.21146341,84.69560976,84.8697561,85.15585366,85.49634146,85.53268293,83.66097561,85.24731707,85.39268293
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.323,71.615,71.805,72.001,72.124,70.864,69.492,72.715,72.884,73.044
Heavily indebted poor countries (HIPC),HPC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.56189814,62.00389143,62.31529904,62.79861634,63.08986199,63.07280582,62.53146532,63.84046619,64.71591556,64.91805973
Croatia,HRV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.27560976,77.92195122,77.72682927,77.9195122,78.22439024,77.52439024,76.42439024,77.57560976,78.47317073,78.92926829
Haiti,HTI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.224,63.325,63.832,64.077,64.328,63.773,62.613,63.948,64.936,65.119
Hungary,HUN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122,75.4195122,74.06585366,75.86829268,76.57073171,76.72439024
IBRD only,IBD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.03284902,73.2592309,73.48576078,73.79494395,74.03127189,73.2951357,71.97420338,74.25128211,74.51797896,74.67290861
IDA & IBRD total,IBT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.37172141,70.61404865,70.83089741,71.15301635,71.39393148,70.74885035,69.66792871,71.67759888,71.99853671,72.13259684
IDA total,IDA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.61359762,62.99198921,63.27374355,63.73096497,64.08856903,63.80235741,63.47742366,64.88230003,65.45352719,65.63512424
IDA blend,IDB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.29449464,60.57616645,60.81839291,61.07405428,61.32599738,60.81800661,60.87653574,62.12886414,62.46216433,62.61994079
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.52,69.733,69.953,70.08,70.349,68.817,67.452,70.925,71.146,71.288
IDA only,IDX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.88219189,64.31020009,64.60993321,65.17294222,65.58291385,65.41160594,64.87653066,66.3600755,67.05383938,67.242529
Isle of Man,IMN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.267,80.391,80.506,80.614,80.74,80.591,80.42,80.956,80.999,81.091
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.326,69.709,70.068,70.415,70.746,70.156,67.282,71.698,72.003,72.235
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902,82.45609756,82.25365854,82.5097561,82.80731707,83.0097561
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.907,76.155,76.396,76.621,76.855,74.141,73.752,76.799,77.654,77.854
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.977,68.683,69.788,71.116,71.245,69.651,70.704,72.037,72.324,72.424
Iceland,ISL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463,83.06341463,83.16585366,82.1195122,82.45609756,82.8097561
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,82.64878049,82.5,82.7,83.19512195,83.19756098
