country_code,country_name,region,income_group,year,u5_mort,is_outlier,life_exp,gdp
BEL,Belgium,Europe & Central Asia,High income,2022,3.8,False,81.74878049,44486.7438563594
BEL,Belgium,Europe & Central Asia,High income,2023,3.7,False,82.4,44866.1935177304
BEN,Benin,Sub-Saharan Africa,Lower middle income,2015,96.1,False,59.123,1002.41886879614
BEN,Benin,Sub-Saharan Africa,Lower middle income,2016,94.0,False,59.283,1006.03926633023
BEN,Benin,Sub-Saharan Africa,Lower middle income,2017,91.8,False,59.528,1032.90471194182
BEN,Benin,Sub-Saharan Africa,Lower middle income,2018,89.4,False,59.71,1071.50452156932
BEN,Benin,Sub-Saharan Africa,Lower middle income,2019,87.0,False,59.888,1114.17304526443
BEN,Benin,Sub-Saharan Africa,Lower middle income,2020,84.6,False,60.154,1126.65404122154
BEN,Benin,Sub-Saharan Africa,Lower middle income,2021,82.2,False,59.61,1176.37727637273
BEN,Benin,Sub-Saharan Africa,Lower middle income,2022,79.6,False,60.475,1218.49668929091
BEN,Benin,Sub-Saharan Africa,Lower middle income,2023,77.2,False,60.774,1263.62158336368
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2015,100.8,False,58.778,630.124750752312
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2016,97.4,False,59.173,648.420480176012
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2017,94.1,False,59.578,669.276310328333
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2018,91.0,False,59.972,694.492813126351
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2019,88.1,False,60.184,717.021595096634
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2020,85.1,False,60.454,713.8421779224
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2021,82.4,False,60.046,745.472563435144
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2022,79.8,False,60.7,740.306319930259
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2023,77.4,False,61.092,745.405334618409
BGD,Bangladesh,South Asia,Lower middle income,2015,38.5,False,70.543,1224.38647668165
BGD,Bangladesh,South Asia,Lower middle income,2016,36.7,False,71.075,1299.83091360792
BGD,Bangladesh,South Asia,Lower middle income,2017,35.0,False,71.606,1373.75363740186
BGD,Bangladesh,South Asia,Lower middle income,2018,33.5,False,72.122,1462.25050255713
BGD,Bangladesh,South Asia,Lower middle income,2019,32.3,False,72.625,1564.20802445636
BGD,Bangladesh,South Asia,Lower middle income,2020,31.4,False,71.421,1604.6659234742
