country_code,country,year,u5_mort,income_group,adol_fert,life_exp,u5_mort_lag5
CUB,Cuba,2021,7.5,Upper middle income,48.346,73.201,6.3
CUB,Cuba,2022,7.8,Upper middle income,47.767,77.629,6.4
CUB,Cuba,2023,8.2,Upper middle income,48.674,78.085,6.6
CYP,Cyprus,2020,3.3,High income,7.274,81.23,2.5
CYP,Cyprus,2021,3.7,High income,7.077,80.573,2.5
CYP,Cyprus,2022,4.1,High income,7.041,80.434,2.6
CYP,Cyprus,2023,4.6,High income,6.981,81.648,2.7
CZE,Czechia,2020,2.9,High income,9.036,78.22682927,3.2
CZE,Czechia,2021,2.8,High income,8.096,77.22195122,3.2
CZE,Czechia,2022,2.7,High income,6.913,78.92926829,3.2
CZE,Czechia,2023,2.6,High income,5.979,79.82682927,3.1
DEU,Germany,2020,3.7,High income,6.544,81.04146341,3.9
DEU,Germany,2021,3.7,High income,6.241,80.7902439,3.9
DEU,Germany,2022,3.7,High income,5.577,80.60804878,3.8
DEU,Germany,2023,3.7,High income,5.473,81.04146341,3.8
DJI,Djibouti,2020,55.7,Lower middle income,19.781,64.2,65.2
DJI,Djibouti,2021,54.0,Lower middle income,19.58,63.83,63.2
DJI,Djibouti,2022,52.1,Lower middle income,19.306,65.54,61.2
DJI,Djibouti,2023,50.5,Lower middle income,18.972,65.987,59.4
DMA,Dominica,2020,33.8,Upper middle income,35.903,71.269,29.2
DMA,Dominica,2021,34.4,Upper middle income,34.74,69.832,30.2
DMA,Dominica,2022,35.0,Upper middle income,34.275,71.081,31.1
DMA,Dominica,2023,35.4,Upper middle income,34.138,71.132,32.1
DNK,Denmark,2020,3.7,High income,1.663,81.60243902,4.1
DNK,Denmark,2021,3.7,High income,1.42,81.40487805,4.0
DNK,Denmark,2022,3.8,High income,1.196,81.30487805,3.9
DNK,Denmark,2023,3.9,High income,1.14,81.75365854,3.9
DOM,Dominican Republic,2020,33.8,Upper middle income,58.852,72.636,34.9
DOM,Dominican Republic,2021,33.0,Upper middle income,56.058,71.757,34.9
DOM,Dominican Republic,2022,32.3,Upper middle income,53.582,74.211,34.9
DOM,Dominican Republic,2023,31.5,Upper middle income,52.774,73.72,34.7
DZA,Algeria,2020,22.9,Upper middle income,9.901,73.257,24.9
DZA,Algeria,2021,22.6,Upper middle income,9.343,75.208,24.5
DZA,Algeria,2022,22.3,Upper middle income,8.977,76.129,24.0
DZA,Algeria,2023,22.0,Upper middle income,8.698,76.261,23.7
ECU,Ecuador,2020,13.6,Upper middle income,62.63,72.004,15.3
ECU,Ecuador,2021,13.4,Upper middle income,58.609,72.746,14.8
ECU,Ecuador,2022,13.2,Upper middle income,56.981,76.577,14.4
ECU,Ecuador,2023,13.0,Upper middle income,55.531,77.392,14.1
EGY,"Egypt, Arab Rep.",2020,24.4,Lower middle income,43.848,69.79,26.5
EGY,"Egypt, Arab Rep.",2021,24.0,Lower middle income,41.901,68.976,26.0
EGY,"Egypt, Arab Rep.",2022,23.5,Lower middle income,41.852,71.01,25.6
EGY,"Egypt, Arab Rep.",2023,22.9,Lower middle income,41.754,71.633,25.2
ERI,Eritrea,2020,39.1,Low income,67.189,66.98,46.4
ERI,Eritrea,2021,37.8,Low income,66.429,66.94,44.7
ERI,Eritrea,2022,36.6,Low income,65.724,67.789,43.3
ERI,Eritrea,2023,35.4,Low income,65.177,68.624,41.9
ESP,Spain,2020,3.2,High income,5.23,82.23170732,3.3
ESP,Spain,2021,3.2,High income,4.702,83.17804878,3.3
ESP,Spain,2022,3.2,High income,4.776,83.13414634,3.2
ESP,Spain,2023,3.2,High income,4.809,83.93414634,3.2
EST,Estonia,2020,2.4,High income,7.255,78.59512195,3.2
EST,Estonia,2021,2.3,High income,6.368,76.94390244,3.0
EST,Estonia,2022,2.2,High income,5.344,77.84390244,2.8
EST,Estonia,2023,2.1,High income,5.026,78.79268293,2.7
FIN,Finland,2020,2.4,High income,3.799,81.93170732,2.5
FIN,Finland,2021,2.4,High income,3.748,81.88536585,2.4
FIN,Finland,2022,2.4,High income,3.221,81.18780488,2.4
FIN,Finland,2023,2.4,High income,3.095,81.58536585,2.4
FJI,Fiji,2020,27.2,Upper middle income,21.695,66.924,20.9
FJI,Fiji,2021,28.3,Upper middle income,21.553,64.904,21.6
FJI,Fiji,2022,28.9,Upper middle income,21.271,67.148,22.7
FJI,Fiji,2023,29.2,Upper middle income,21.169,67.316,24.2
FRA,France,2020,4.2,High income,5.616,82.17560976,4.2
FRA,France,2021,4.3,High income,4.94,82.32439024,4.2
FRA,France,2022,4.3,High income,3.979,82.12926829,4.2
FRA,France,2023,4.3,High income,3.507,82.83170732,4.2
FSM,"Micronesia, Fed. Sts.",2020,25.6,Lower middle income,44.646,65.878,29.8
FSM,"Micronesia, Fed. Sts.",2021,24.7,Lower middle income,44.033,66.152,28.9
FSM,"Micronesia, Fed. Sts.",2022,23.9,Lower middle income,43.998,66.961,28.1
FSM,"Micronesia, Fed. Sts.",2023,23.1,Lower middle income,43.719,67.198,27.3
GAB,Gabon,2020,36.8,Upper middle income,96.307,67.073,44.4
GAB,Gabon,2021,35.8,Upper middle income,94.925,67.072,42.7
GAB,Gabon,2022,34.7,Upper middle income,93.319,67.713,41.4
GAB,Gabon,2023,33.8,Upper middle income,91.707,68.337,39.9
GBR,United Kingdom,2020,4.4,High income,9.701,80.3317561,4.5
GBR,United Kingdom,2021,4.4,High income,8.578,80.64731707,4.4
GBR,United Kingdom,2022,4.5,High income,8.379,81.01121951,4.4
GBR,United Kingdom,2023,4.6,High income,8.359,81.23809756,4.4
GEO,Georgia,2020,9.4,Upper middle income,27.086,73.509,10.6
GEO,Georgia,2021,9.2,Upper middle income,25.154,71.635,10.2
GEO,Georgia,2022,9.0,Upper middle income,21.511,74.141,10.0
GEO,Georgia,2023,8.8,Upper middle income,21.137,74.496,9.8
GHA,Ghana,2020,42.2,Lower middle income,62.026,64.309,52.5
GHA,Ghana,2021,40.3,Lower middle income,59.76,64.286,50.3
GHA,Ghana,2022,38.6,Lower middle income,58.808,65.246,48.2
GHA,Ghana,2023,37.2,Lower middle income,58.238,65.498,46.1
GIN,Guinea,2020,102.9,Lower middle income,125.054,59.35,113.7
GIN,Guinea,2021,100.3,Lower middle income,122.721,59.373,111.4
GIN,Guinea,2022,97.6,Lower middle income,120.438,60.432,109.5
GIN,Guinea,2023,95.0,Lower middle income,118.577,60.74,107.5
GMB,"Gambia, The",2020,48.6,Low income,61.874,64.418,58.9
GMB,"Gambia, The",2021,47.0,Low income,60.503,63.847,56.6
GMB,"Gambia, The",2022,45.3,Low income,59.158,64.859,54.3
GMB,"Gambia, The",2023,43.8,Low income,58.094,65.86,52.3
